seed,layer,source,target,path_relation,selected_method,matrix_artifact_key,fit_residual,transport_validation_residual,transport_test_residual,condition_number,effective_rank,singular_value_spread,inverse_consistency,bootstrap_instability_mean,bootstrap_instability_ci_low,bootstrap_instability_ci_high,matrix_artifact_path,matrix_artifact_sha256
0,early,M_AB,M_B,loop_closing,orthogonal_procrustes,early__M_AB__M_B,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_B,M_AB,loop_closing,orthogonal_procrustes,early__M_B__M_AB,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_AC,M_C,loop_closing,orthogonal_procrustes,early__M_AC__M_C,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_C,M_AC,loop_closing,orthogonal_procrustes,early__M_C__M_AC,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_BC,M_C,loop_closing,orthogonal_procrustes,early__M_BC__M_C,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_C,M_BC,loop_closing,orthogonal_procrustes,early__M_C__M_BC,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_ABC,M_BAC,same_depth_closing,orthogonal_procrustes,early__M_ABC__M_BAC,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_BAC,M_ABC,same_depth_closing,orthogonal_procrustes,early__M_BAC__M_ABC,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_ABC,M_ACB,same_depth_closing,orthogonal_procrustes,early__M_ABC__M_ACB,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_ACB,M_ABC,same_depth_closing,orthogonal_procrustes,early__M_ACB__M_ABC,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_ACB,M_CAB,same_depth_closing,orthogonal_procrustes,early__M_ACB__M_CAB,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_CAB,M_ACB,same_depth_closing,orthogonal_procrustes,early__M_CAB__M_ACB,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_BAC,M_BCA,same_depth_closing,orthogonal_procrustes,early__M_BAC__M_BCA,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_BCA,M_BAC,same_depth_closing,orthogonal_procrustes,early__M_BCA__M_BAC,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_BCA,M_CBA,same_depth_closing,orthogonal_procrustes,early__M_BCA__M_CBA,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_CBA,M_BCA,same_depth_closing,orthogonal_procrustes,early__M_CBA__M_BCA,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
0,early,M_CAB,M_CBA,same_depth_closing,orthogonal_procrustes,early__M_CAB__M_CBA,3.551912222942939e-15,3.551977276745266e-15,3.56364106199874e-15,1.000000000000001,32,9.992007221626409e-16,5.02275342940024e-15,3.2126591791339275e-15,2.8757029229287345e-15,3.7664938350076996e-15,/Users/tinggong/Documents/Codex/2026-07-20/model-lineage-holonomy/work/TwistedMerge-model-lineage-holonomy/reports/tmp/model_lineage_holonomy/pilot/transport_maps_seed_0.npz,30942ce8c144bd47d72c23115249231950e8f17f2d4ff7d726a3d77eb576d8e6
